"","Income","Start","End","M","P","M","O","Att","Prop","#","Amount"
"02 Jul 2024","+0.00209 ETH","32.00883 ETH","32.01091 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Jul 2024","+0.00209 ETH","32.00673 ETH","32.00882 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Jun 2024","+0.00210 ETH","32.00463 ETH","32.00672 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Jun 2024","+0.00209 ETH","32.00254 ETH","32.00462 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Jun 2024","+0.00209 ETH","32.00044 ETH","32.00253 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Jun 2024","+0.00211 ETH","32.01722 ETH","32.00043 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Jun 2024","+0.00210 ETH","32.01512 ETH","32.01721 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Jun 2024","+0.00210 ETH","32.01301 ETH","32.01511 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Jun 2024","+0.00210 ETH","32.01091 ETH","32.013 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Jun 2024","+0.00209 ETH","32.00881 ETH","32.0109 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Jun 2024","+0.00210 ETH","32.00671 ETH","32.00881 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Jun 2024","+0.00207 ETH","32.00463 ETH","32.00671 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Jun 2024","+0.00209 ETH","32.00254 ETH","32.00463 ETH","1","0","0","0","0","0","0","0 ETH"
"19 Jun 2024","+0.00211 ETH","32.00042 ETH","32.00253 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Jun 2024","+0.00211 ETH","32.01714 ETH","32.00041 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Jun 2024","+0.00211 ETH","32.01503 ETH","32.01713 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Jun 2024","+0.00209 ETH","32.01294 ETH","32.01502 ETH","1","0","0","0","0","0","0","0 ETH"
"15 Jun 2024","+0.00211 ETH","32.01082 ETH","32.01293 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Jun 2024","+0.00208 ETH","32.00873 ETH","32.01081 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Jun 2024","+0.00210 ETH","32.00662 ETH","32.00872 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Jun 2024","+0.00211 ETH","32.00451 ETH","32.00661 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Jun 2024","+0.00209 ETH","32.00241 ETH","32.0045 ETH","2","0","0","0","0","0","0","0 ETH"
"10 Jun 2024","+0.00212 ETH","32.00029 ETH","32.0024 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Jun 2024","+0.00212 ETH","32.01694 ETH","32.00028 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Jun 2024","+0.00211 ETH","32.01482 ETH","32.01693 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Jun 2024","+0.00212 ETH","32.0127 ETH","32.01481 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Jun 2024","+0.00210 ETH","32.01059 ETH","32.01269 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Jun 2024","+0.00212 ETH","32.00847 ETH","32.01058 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Jun 2024","+0.00213 ETH","32.00633 ETH","32.00846 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Jun 2024","+0.00213 ETH","32.0042 ETH","32.00632 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Jun 2024","+0.00213 ETH","32.00207 ETH","32.00419 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Jun 2024","+0.00212 ETH","32.01867 ETH","32.00206 ETH","0","0","0","0","0","0","0","0 ETH"
"31 May 2024","+0.00212 ETH","32.01655 ETH","32.01866 ETH","0","0","0","0","0","0","0","0 ETH"
"30 May 2024","+0.00212 ETH","32.01442 ETH","32.01654 ETH","0","0","0","0","0","0","0","0 ETH"
"29 May 2024","+0.00212 ETH","32.01229 ETH","32.01441 ETH","0","0","0","0","0","0","0","0 ETH"
"28 May 2024","+0.00213 ETH","32.01016 ETH","32.01228 ETH","0","0","0","0","0","0","0","0 ETH"
"27 May 2024","+0.00213 ETH","32.00802 ETH","32.01015 ETH","0","0","0","0","0","0","0","0 ETH"
"26 May 2024","+0.00213 ETH","32.00589 ETH","32.00801 ETH","0","0","0","0","0","0","0","0 ETH"
"25 May 2024","+0.00213 ETH","32.00375 ETH","32.00588 ETH","0","0","0","0","0","0","0","0 ETH"
"24 May 2024","+0.00212 ETH","32.00163 ETH","32.00374 ETH","0","0","0","0","0","0","0","0 ETH"
"23 May 2024","+0.00210 ETH","32.01826 ETH","32.00162 ETH","0","0","0","0","0","0","0","0 ETH"
"22 May 2024","+0.00213 ETH","32.01612 ETH","32.01825 ETH","0","0","0","0","0","0","0","0 ETH"
"21 May 2024","+0.00212 ETH","32.014 ETH","32.01611 ETH","0","0","0","0","0","0","0","0 ETH"
"20 May 2024","+0.00213 ETH","32.01187 ETH","32.01399 ETH","0","0","0","0","0","0","0","0 ETH"
"19 May 2024","+0.00209 ETH","32.00977 ETH","32.01186 ETH","1","0","0","0","0","0","0","0 ETH"
"18 May 2024","+0.00213 ETH","32.00764 ETH","32.00976 ETH","0","0","0","0","0","0","0","0 ETH"
"17 May 2024","+0.00212 ETH","32.00551 ETH","32.00763 ETH","0","0","0","0","0","0","0","0 ETH"
"16 May 2024","+0.00213 ETH","32.00337 ETH","32.0055 ETH","0","0","0","0","0","0","0","0 ETH"
"15 May 2024","+0.00212 ETH","32.00124 ETH","32.00336 ETH","0","0","0","0","0","0","0","0 ETH"
"14 May 2024","+0.00212 ETH","32.01775 ETH","32.00123 ETH","0","0","0","0","0","0","0","0 ETH"
"13 May 2024","+0.00211 ETH","32.01563 ETH","32.01774 ETH","0","0","0","0","0","0","0","0 ETH"
"12 May 2024","+0.00210 ETH","32.01353 ETH","32.01562 ETH","1","0","0","0","0","0","0","0 ETH"
"11 May 2024","+0.00209 ETH","32.01144 ETH","32.01352 ETH","0","0","0","0","0","0","0","0 ETH"
"10 May 2024","+0.00212 ETH","32.00931 ETH","32.01143 ETH","0","0","0","0","0","0","0","0 ETH"
"09 May 2024","+0.00212 ETH","32.00719 ETH","32.0093 ETH","0","0","0","0","0","0","0","0 ETH"
"08 May 2024","+0.00212 ETH","32.00506 ETH","32.00718 ETH","0","0","0","0","0","0","0","0 ETH"
"07 May 2024","+0.00213 ETH","32.00293 ETH","32.00505 ETH","0","0","0","0","0","0","0","0 ETH"
"06 May 2024","+0.00211 ETH","32.00082 ETH","32.00292 ETH","1","0","0","0","0","0","0","0 ETH"
"05 May 2024","+0.00213 ETH","32.01727 ETH","32.00081 ETH","0","0","0","0","0","0","0","0 ETH"
"04 May 2024","+0.00212 ETH","32.01515 ETH","32.01726 ETH","0","0","0","0","0","0","0","0 ETH"
"03 May 2024","+0.00211 ETH","32.01303 ETH","32.01514 ETH","0","0","0","0","0","0","0","0 ETH"
"02 May 2024","+0.00213 ETH","32.01089 ETH","32.01302 ETH","0","0","0","0","0","0","0","0 ETH"
"01 May 2024","+0.00214 ETH","32.00874 ETH","32.01088 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Apr 2024","+0.00212 ETH","32.00662 ETH","32.00874 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Apr 2024","+0.00213 ETH","32.00448 ETH","32.00661 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Apr 2024","+0.00213 ETH","32.00234 ETH","32.00447 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Apr 2024","+0.00213 ETH","32.00021 ETH","32.00234 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Apr 2024","+0.00213 ETH","32.0166 ETH","32.0002 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Apr 2024","+0.00214 ETH","32.01446 ETH","32.0166 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Apr 2024","+0.00212 ETH","32.01233 ETH","32.01445 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Apr 2024","+0.00213 ETH","32.0102 ETH","32.01232 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Apr 2024","+0.00214 ETH","32.00805 ETH","32.01019 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Apr 2024","+0.00214 ETH","32.00591 ETH","32.00804 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Apr 2024","+0.00214 ETH","32.00376 ETH","32.0059 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Apr 2024","+0.00214 ETH","32.00162 ETH","32.00376 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Apr 2024","+0.00216 ETH","32.01795 ETH","32.00161 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Apr 2024","+0.00215 ETH","32.01579 ETH","32.01794 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Apr 2024","+0.00215 ETH","32.01364 ETH","32.01578 ETH","0","0","0","0","0","0","0","0 ETH"
"15 Apr 2024","+0.00215 ETH","32.01149 ETH","32.01363 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Apr 2024","+0.00214 ETH","32.00935 ETH","32.01148 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Apr 2024","+0.00211 ETH","32.00723 ETH","32.00934 ETH","1","0","0","0","0","0","0","0 ETH"
"12 Apr 2024","+0.00215 ETH","32.00508 ETH","32.00722 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Apr 2024","+0.00214 ETH","32.00293 ETH","32.00507 ETH","1","0","0","0","0","0","0","0 ETH"
"10 Apr 2024","+0.00216 ETH","32.00077 ETH","32.00292 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Apr 2024","+0.00216 ETH","32.01713 ETH","32.00076 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Apr 2024","+0.00213 ETH","32.015 ETH","32.01712 ETH","1","0","0","0","0","0","0","0 ETH"
"07 Apr 2024","+0.00215 ETH","32.01284 ETH","32.01499 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Apr 2024","+0.00212 ETH","32.01071 ETH","32.01283 ETH","1","0","0","0","0","0","0","0 ETH"
"05 Apr 2024","+0.00214 ETH","32.00857 ETH","32.0107 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Apr 2024","+0.00216 ETH","32.0064 ETH","32.00856 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Apr 2024","+0.00215 ETH","32.00425 ETH","32.00639 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Apr 2024","+0.00213 ETH","32.00211 ETH","32.00424 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Apr 2024","+0.00214 ETH","32.01845 ETH","32.0021 ETH","0","0","0","0","0","0","0","0 ETH"
"31 Mar 2024","+0.00213 ETH","32.01631 ETH","32.01844 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Mar 2024","+0.00212 ETH","32.01418 ETH","32.0163 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Mar 2024","+0.00213 ETH","32.01204 ETH","32.01417 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Mar 2024","+0.00213 ETH","32.0099 ETH","32.01203 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Mar 2024","+0.00206 ETH","32.00783 ETH","32.00989 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Mar 2024","+0.00211 ETH","32.00572 ETH","32.00782 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Mar 2024","+0.00212 ETH","32.0036 ETH","32.00571 ETH","1","0","0","0","0","0","0","0 ETH"
"24 Mar 2024","+0.00214 ETH","32.00146 ETH","32.00359 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Mar 2024","+0.00213 ETH","32.01785 ETH","32.00145 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Mar 2024","+0.00215 ETH","32.0157 ETH","32.01784 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Mar 2024","+0.00211 ETH","32.01358 ETH","32.01569 ETH","1","0","0","0","0","0","0","0 ETH"
"20 Mar 2024","+0.00216 ETH","32.01142 ETH","32.01357 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Mar 2024","+0.00214 ETH","32.00928 ETH","32.01141 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Mar 2024","+0.00211 ETH","32.00717 ETH","32.00927 ETH","1","0","0","0","0","0","0","0 ETH"
"17 Mar 2024","+0.00214 ETH","32.00502 ETH","32.00716 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Mar 2024","+0.00213 ETH","32.00288 ETH","32.00501 ETH","1","0","0","0","0","0","0","0 ETH"
"15 Mar 2024","+0.00215 ETH","32.00073 ETH","32.00287 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Mar 2024","+0.00214 ETH","32.01713 ETH","32.00072 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Mar 2024","+0.00212 ETH","32.01501 ETH","32.01712 ETH","1","0","0","0","0","0","0","0 ETH"
"12 Mar 2024","+0.00215 ETH","32.01285 ETH","32.015 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Mar 2024","+0.00214 ETH","32.01071 ETH","32.01284 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Mar 2024","+0.00215 ETH","32.00855 ETH","32.0107 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Mar 2024","+0.00216 ETH","32.00639 ETH","32.00855 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Mar 2024","+0.00212 ETH","32.00426 ETH","32.00638 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Mar 2024","+0.00216 ETH","32.00209 ETH","32.00425 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Mar 2024","+0.00217 ETH","32.01836 ETH","32.00209 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Mar 2024","+0.00217 ETH","32.01619 ETH","32.01835 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Mar 2024","+0.00217 ETH","32.01402 ETH","32.01618 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Mar 2024","+0.00216 ETH","32.01185 ETH","32.01401 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Mar 2024","+0.00215 ETH","32.0097 ETH","32.01184 ETH","1","0","0","0","0","0","0","0 ETH"
"01 Mar 2024","+0.00217 ETH","32.00752 ETH","32.00969 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Feb 2024","+0.00217 ETH","32.00534 ETH","32.00751 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Feb 2024","+0.00217 ETH","32.00317 ETH","32.00533 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Feb 2024","+0.00215 ETH","32.00102 ETH","32.00316 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Feb 2024","+0.00216 ETH","32.01713 ETH","32.00101 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Feb 2024","+0.00218 ETH","32.01495 ETH","32.01712 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Feb 2024","+0.00218 ETH","32.01277 ETH","32.01494 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Feb 2024","+0.00217 ETH","32.01059 ETH","32.01276 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Feb 2024","+0.00219 ETH","32.0084 ETH","32.01058 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Feb 2024","+0.00217 ETH","32.00622 ETH","32.00839 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Feb 2024","+0.00216 ETH","32.00406 ETH","32.00621 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Feb 2024","+0.00219 ETH","32.00186 ETH","32.00405 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Feb 2024","+0.00213 ETH","32.01781 ETH","32.00185 ETH","1","0","0","0","0","0","0","0 ETH"
"17 Feb 2024","+0.00218 ETH","32.01562 ETH","32.0178 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Feb 2024","+0.00217 ETH","32.01345 ETH","32.01562 ETH","0","0","0","0","0","0","0","0 ETH"
"15 Feb 2024","+0.00220 ETH","32.01125 ETH","32.01344 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Feb 2024","+0.00219 ETH","32.00906 ETH","32.01124 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Feb 2024","+0.00218 ETH","32.00688 ETH","32.00905 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Feb 2024","+0.00218 ETH","32.00469 ETH","32.00687 ETH","1","0","0","0","0","0","0","0 ETH"
"11 Feb 2024","+0.00220 ETH","32.00249 ETH","32.00468 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Feb 2024","+0.00220 ETH","32.00028 ETH","32.00248 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Feb 2024","+0.00220 ETH","32.01597 ETH","32.00027 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Feb 2024","+0.00221 ETH","32.01375 ETH","32.01596 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Feb 2024","+0.00219 ETH","32.01155 ETH","32.01374 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Feb 2024","+0.00220 ETH","32.00935 ETH","32.01154 ETH","1","0","0","0","0","0","0","0 ETH"
"05 Feb 2024","+0.00221 ETH","32.00713 ETH","32.00934 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Feb 2024","+0.00220 ETH","32.00492 ETH","32.00712 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Feb 2024","+0.00222 ETH","32.0027 ETH","32.00491 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Feb 2024","+0.00220 ETH","32.00049 ETH","32.00269 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Feb 2024","+0.00223 ETH","32.0161 ETH","32.00048 ETH","0","0","0","0","0","0","0","0 ETH"
"31 Jan 2024","+0.00223 ETH","32.01386 ETH","32.01609 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Jan 2024","+0.00222 ETH","32.01164 ETH","32.01385 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Jan 2024","+0.00224 ETH","32.0094 ETH","32.01163 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Jan 2024","+0.00224 ETH","32.00715 ETH","32.00939 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Jan 2024","+0.00224 ETH","32.0049 ETH","32.00714 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Jan 2024","+0.00223 ETH","32.00266 ETH","32.00489 ETH","1","0","0","0","0","0","0","0 ETH"
"25 Jan 2024","+0.00223 ETH","32.00043 ETH","32.00265 ETH","1","0","0","0","0","0","0","0 ETH"
"24 Jan 2024","+0.00225 ETH","32.01582 ETH","32.00042 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Jan 2024","+0.00224 ETH","32.01358 ETH","32.01581 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Jan 2024","+0.00223 ETH","32.01134 ETH","32.01357 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Jan 2024","+0.00217 ETH","32.00917 ETH","32.01133 ETH","1","0","0","0","0","0","0","0 ETH"
"20 Jan 2024","+0.00226 ETH","32.00691 ETH","32.00916 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Jan 2024","+0.00226 ETH","32.00464 ETH","32.0069 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Jan 2024","+0.00226 ETH","32.00238 ETH","32.00463 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Jan 2024","+0.00225 ETH","32.00012 ETH","32.00237 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Jan 2024","+0.00223 ETH","32.01563 ETH","32.00011 ETH","0","0","0","0","0","0","0","0 ETH"
"15 Jan 2024","+0.00226 ETH","32.01336 ETH","32.01562 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Jan 2024","+0.00226 ETH","32.0111 ETH","32.01335 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Jan 2024","+0.00227 ETH","32.00883 ETH","32.01109 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Jan 2024","+0.00225 ETH","32.00657 ETH","32.00882 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Jan 2024","+0.00224 ETH","32.00432 ETH","32.00656 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Jan 2024","+0.00224 ETH","32.00208 ETH","32.00431 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Jan 2024","+0.00224 ETH","32.01735 ETH","32.00207 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Jan 2024","+0.00221 ETH","32.01514 ETH","32.01734 ETH","1","0","0","0","0","0","0","0 ETH"
"07 Jan 2024","+0.00221 ETH","32.01293 ETH","32.01513 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Jan 2024","+0.00221 ETH","32.01071 ETH","32.01292 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Jan 2024","+0.00221 ETH","32.0085 ETH","32.0107 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Jan 2024","+0.00221 ETH","32.00628 ETH","32.00849 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Jan 2024","+0.00224 ETH","32.00404 ETH","32.00627 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Jan 2024","+0.00224 ETH","32.00179 ETH","32.00403 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Jan 2024","+0.00225 ETH","32.01709 ETH","32.00178 ETH","0","0","0","0","0","0","0","0 ETH"
"31 Dec 2023","+0.00224 ETH","32.01485 ETH","32.01708 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Dec 2023","+0.00223 ETH","32.01261 ETH","32.01484 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Dec 2023","+0.00224 ETH","32.01036 ETH","32.0126 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Dec 2023","+0.00226 ETH","32.0081 ETH","32.01035 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Dec 2023","+0.00226 ETH","32.00584 ETH","32.00809 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Dec 2023","+0.00226 ETH","32.00357 ETH","32.00583 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Dec 2023","+0.00225 ETH","32.00132 ETH","32.00356 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Dec 2023","+0.00225 ETH","32.0166 ETH","32.00131 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Dec 2023","+0.00225 ETH","32.01435 ETH","32.01659 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Dec 2023","+0.00225 ETH","32.0121 ETH","32.01434 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Dec 2023","+0.00226 ETH","32.00983 ETH","32.01209 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Dec 2023","+0.00225 ETH","32.00757 ETH","32.00982 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Dec 2023","+0.00226 ETH","32.00531 ETH","32.00756 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Dec 2023","+0.00225 ETH","32.00306 ETH","32.0053 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Dec 2023","+0.00225 ETH","32.0008 ETH","32.00305 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Dec 2023","+0.00223 ETH","32.01602 ETH","32.00079 ETH","1","0","0","0","0","0","0","0 ETH"
"15 Dec 2023","+0.00222 ETH","32.01379 ETH","32.01601 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Dec 2023","+0.00226 ETH","32.01153 ETH","32.01378 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Dec 2023","+0.00223 ETH","32.00929 ETH","32.01152 ETH","1","0","0","0","0","0","0","0 ETH"
"12 Dec 2023","+0.00226 ETH","32.00702 ETH","32.00928 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Dec 2023","+0.00226 ETH","32.00476 ETH","32.00701 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Dec 2023","+0.00227 ETH","32.00249 ETH","32.00475 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Dec 2023","+0.00226 ETH","32.00022 ETH","32.00248 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Dec 2023","+0.00227 ETH","32.01554 ETH","32.00021 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Dec 2023","+0.00225 ETH","32.01328 ETH","32.01553 ETH","1","0","0","0","0","0","0","0 ETH"
"06 Dec 2023","+0.00226 ETH","32.01102 ETH","32.01327 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Dec 2023","+0.00227 ETH","32.00874 ETH","32.01101 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Dec 2023","+0.00223 ETH","32.0065 ETH","32.00873 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Dec 2023","+0.00227 ETH","32.00423 ETH","32.00649 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Dec 2023","+0.00226 ETH","32.00196 ETH","32.00422 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Dec 2023","+0.00227 ETH","32.01708 ETH","32.00195 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Nov 2023","+0.00228 ETH","32.01479 ETH","32.01707 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Nov 2023","+0.00227 ETH","32.01252 ETH","32.01478 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Nov 2023","+0.00228 ETH","32.01023 ETH","32.01251 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Nov 2023","+0.00228 ETH","32.00794 ETH","32.01022 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Nov 2023","+0.00226 ETH","32.00568 ETH","32.00793 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Nov 2023","+0.00225 ETH","32.00343 ETH","32.00567 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Nov 2023","+0.00226 ETH","32.00117 ETH","32.00342 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Nov 2023","+0.00227 ETH","32.01616 ETH","32.00115 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Nov 2023","+0.00227 ETH","32.01389 ETH","32.01615 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Nov 2023","+0.00227 ETH","32.01161 ETH","32.01387 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Nov 2023","+0.00228 ETH","32.00933 ETH","32.0116 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Nov 2023","+0.00226 ETH","32.00706 ETH","32.00932 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Nov 2023","+0.00227 ETH","32.00479 ETH","32.00705 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Nov 2023","+0.00227 ETH","32.00251 ETH","32.00478 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Nov 2023","+0.00227 ETH","32.00023 ETH","32.0025 ETH","0","0","0","0","0","0","0","0 ETH"
"15 Nov 2023","+0.00228 ETH","32.01526 ETH","32.00022 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Nov 2023","+0.00228 ETH","32.01298 ETH","32.01525 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Nov 2023","+0.00229 ETH","32.01069 ETH","32.01297 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Nov 2023","+0.00228 ETH","32.0084 ETH","32.01067 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Nov 2023","+0.00228 ETH","32.00612 ETH","32.00839 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Nov 2023","+0.00227 ETH","32.00384 ETH","32.00611 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Nov 2023","+0.00229 ETH","32.00155 ETH","32.00383 ETH","0","0","0","0","0","0","0","0 ETH"
